iter	Passed	Remaining
0	143	143122
1	147	73569
2	149	49778
3	151	37757
4	154	30746
5	157	26095
6	159	22622
7	161	20061
8	164	18093
9	166	16499
10	169	15215
11	171	14156
12	174	13255
13	176	12461
14	179	11783
15	182	11213
16	185	10736
17	188	10288
18	191	9896
19	193	9505
20	206	9629
21	208	9287
22	211	8977
23	217	8833
24	220	8595
25	222	8339
26	224	8102
27	230	7996
28	232	7787
29	234	7567
30	235	7361
31	237	7172
32	238	6984
33	239	6812
34	240	6644
35	242	6490
36	243	6346
37	245	6227
38	247	6093
39	248	5968
40	250	5849
41	251	5730
42	252	5613
43	253	5502
44	254	5395
45	255	5293
46	256	5195
47	257	5111
48	259	5030
49	260	4951
50	261	4873
51	263	4795
52	265	4740
53	266	4668
54	267	4594
55	268	4524
56	269	4455
57	270	4388
58	271	4331
59	273	4277
60	274	4219
61	275	4161
62	276	4105
63	276	4049
64	277	3995
65	278	3944
66	279	3893
67	280	3843
68	281	3795
69	282	3749
70	283	3703
71	284	3661
72	285	3619
73	286	3580
74	287	3543
75	288	3505
76	289	3466
77	289	3427
78	290	3390
79	291	3356
80	293	3328
81	294	3294
82	294	3255
83	295	3222
84	296	3190
85	297	3158
86	297	3126
87	298	3095
88	299	3068
89	300	3040
90	302	3017
91	303	2991
92	304	2964
93	304	2938
94	305	2912
95	306	2886
96	307	2861
97	308	2835
98	308	2811
99	309	2788
100	310	2765
101	311	2742
102	312	2720
103	313	2698
104	314	2676
105	315	2657
106	318	2656
107	319	2640
108	320	2621
109	321	2602
110	322	2582
111	323	2563
112	324	2544
113	325	2526
114	325	2507
115	326	2489
116	327	2470
117	328	2454
118	329	2436
119	329	2419
120	330	2404
121	331	2386
122	332	2371
123	333	2356
124	334	2341
125	335	2325
126	335	2309
127	336	2294
128	337	2279
129	338	2264
130	339	2250
131	340	2237
132	341	2226
133	342	2213
134	343	2200
135	344	2189
136	345	2177
137	346	2165
138	347	2153
139	348	2139
140	349	2126
141	349	2111
142	350	2098
143	350	2086
144	351	2073
145	352	2061
146	353	2048
147	353	2037
148	354	2025
149	356	2019
150	357	2008
151	358	1997
152	358	1986
153	359	1974
154	360	1964
155	361	1954
156	362	1945
157	363	1934
158	363	1925
159	364	1914
160	365	1903
161	365	1892
162	366	1882
163	367	1873
164	368	1863
165	368	1853
166	369	1843
167	370	1834
168	371	1825
169	372	1816
170	372	1807
171	373	1798
172	374	1789
173	375	1781
174	376	1773
175	377	1765
176	377	1756
177	378	1747
178	379	1739
179	379	1730
180	380	1722
181	381	1714
182	382	1706
183	383	1698
184	383	1690
185	384	1683
186	385	1675
187	386	1667
188	386	1660
189	387	1652
190	388	1644
191	389	1637
192	389	1629
193	390	1623
194	391	1616
195	392	1609
196	393	1603
197	394	1597
198	395	1590
199	395	1583
200	396	1576
201	397	1570
202	398	1564
203	399	1557
204	399	1550
205	400	1544
206	401	1537
207	402	1531
208	402	1524
209	403	1518
210	404	1511
211	405	1505
212	406	1500
213	406	1494
214	408	1489
215	409	1484
216	409	1479
217	410	1473
218	411	1467
219	412	1462
220	413	1457
221	414	1451
222	414	1445
223	415	1439
224	416	1433
225	416	1427
226	417	1422
227	418	1416
228	419	1411
229	419	1405
230	420	1400
231	421	1395
232	422	1391
233	423	1385
234	424	1380
235	424	1375
236	425	1369
237	426	1364
238	427	1359
239	427	1354
240	428	1349
241	429	1344
242	430	1339
243	430	1334
244	431	1329
245	432	1324
246	433	1320
247	433	1315
248	434	1310
249	435	1305
250	436	1301
251	437	1297
252	438	1293
253	438	1288
254	439	1283
255	440	1280
256	441	1276
257	442	1272
258	443	1267
259	443	1263
260	444	1258
261	445	1254
262	446	1250
263	446	1245
264	447	1241
265	448	1237
266	449	1232
267	449	1228
268	450	1224
269	451	1221
270	452	1217
271	453	1214
272	455	1211
273	456	1208
274	457	1205
275	457	1201
276	458	1197
277	459	1193
278	460	1189
279	461	1185
280	461	1181
281	462	1177
282	463	1174
283	464	1171
284	465	1168
285	466	1164
286	467	1161
287	468	1158
288	469	1155
289	470	1151
290	471	1147
291	473	1147
292	473	1143
293	474	1140
294	475	1136
295	476	1132
296	477	1129
297	477	1125
298	478	1122
299	479	1118
300	480	1116
301	482	1115
302	483	1112
303	484	1110
304	485	1107
305	486	1103
306	487	1100
307	488	1098
308	489	1094
309	490	1091
310	491	1088
311	492	1085
312	492	1081
313	493	1078
314	494	1074
315	495	1071
316	496	1068
317	497	1066
318	498	1063
319	499	1060
320	500	1057
321	500	1054
322	501	1051
323	502	1048
324	503	1045
325	504	1042
326	504	1039
327	505	1036
328	506	1032
329	507	1029
330	507	1026
331	508	1023
332	509	1020
333	510	1018
334	511	1015
335	512	1012
336	513	1009
337	514	1006
338	514	1004
339	515	1001
340	516	998
341	517	995
342	518	992
343	518	989
344	519	986
345	520	983
346	521	980
347	521	977
348	522	974
349	523	971
350	523	968
351	524	965
352	525	963
353	526	960
354	527	958
355	528	955
356	529	952
357	529	950
358	530	947
359	531	944
360	532	941
361	532	939
362	533	936
363	534	933
364	535	931
365	536	929
366	537	926
367	538	924
368	539	921
369	539	919
370	540	916
371	541	914
372	542	912
373	543	909
374	544	906
